horizon,horizon_days,model_1,model_2,n,DM_HAC,p_value_HAC,HAC_bandwidth,overlap_warning
1M,30,OLS,VS-LSTM,3702,2.7621437388467727,0.005742319192052481,29,False
1M,30,OLS,Zero Return,3702,3.311253062855943,0.000928791732649703,29,False
1M,30,Persistence Direction,Random Walk with Drift,3702,0.6600734487901209,0.5092066963687765,29,False
1M,30,Persistence Direction,VS-LSTM,3702,-1.2240901885410644,0.22091820687636332,29,False
1M,30,Persistence Direction,Zero Return,3702,3.001580642009286,0.0026858189030505297,29,False
1M,30,Random Walk with Drift,VS-LSTM,3702,-1.6919137937309447,0.09066241157149779,29,False
1M,30,Random Walk with Drift,Zero Return,3702,0.2192514472458297,0.8264541811669932,29,False
1M,30,VS-LSTM,Zero Return,3702,2.2483269226036446,0.024555351201400955,29,False
24M,730,ARIMA,Adaptive Ensemble,2302,5.242608908841567,1.5832188449138584e-07,729,False
24M,730,ARIMA,GLS,2302,0.2330235146823742,0.8157431462514044,729,False
24M,730,ARIMA,GLS-LSTM,2302,-0.2278066756899636,0.8197965366930846,729,False
24M,730,ARIMA,Historical Mean,2302,2.175252208937703,0.029611221717823266,729,False
24M,730,ARIMA,Historical Median,2302,3.305689075819319,0.000947431573881774,729,False
24M,730,ARIMA,LSTM,2302,1.7828271128568427,0.07461445079052398,729,False
24M,730,ARIMA,Majority Direction,2302,1.6092070158858274,0.10757108282478312,729,False
24M,730,ARIMA,OLS,2302,2.482253469346418,0.013055437196380693,729,False
24M,730,ARIMA,Persistence Direction,2302,-2.4871423994514568,0.012877384304176953,729,False
24M,730,ARIMA,Random Walk with Drift,2302,2.175252208937703,0.029611221717823266,729,False
24M,730,ARIMA,VS-LSTM,2302,1.4946175875319974,0.1350142734436699,729,False
24M,730,ARIMA,Zero Return,2302,0.8835304985633168,0.3769497117391869,729,False
24M,730,Adaptive Ensemble,GLS,2302,-2.27547428338262,0.022877493669870352,729,False
24M,730,Adaptive Ensemble,GLS-LSTM,2302,-3.061875693371247,0.0021995477521881135,729,False
24M,730,Adaptive Ensemble,Historical Mean,2302,-2.854993089705261,0.00430377653462144,729,False
24M,730,Adaptive Ensemble,Historical Median,2302,-2.794437738134466,0.005199005107993759,729,False
24M,730,Adaptive Ensemble,LSTM,2302,-1.785813111075296,0.07412952313830168,729,False
24M,730,Adaptive Ensemble,Majority Direction,2302,-2.925447936214864,0.003439607257720745,729,False
24M,730,Adaptive Ensemble,OLS,2302,-2.828463187049849,0.004677208001874877,729,False
24M,730,Adaptive Ensemble,Persistence Direction,2302,-8.289000219107612,2.220446049250313e-16,729,False
24M,730,Adaptive Ensemble,Random Walk with Drift,2302,-2.854993089705261,0.00430377653462144,729,False
24M,730,Adaptive Ensemble,VS-LSTM,2302,-2.4452341565586986,0.014475812407269473,729,False
24M,730,Adaptive Ensemble,Zero Return,2302,-2.88822065345311,0.0038742798681106194,729,False
24M,730,GLS,GLS-LSTM,2302,-1.7152923087728293,0.08629164798393707,729,False
24M,730,GLS,Historical Mean,2302,0.42651820813896785,0.6697302831007903,729,False
24M,730,GLS,Historical Median,2302,0.6776166916063846,0.4980147600489073,729,False
24M,730,GLS,LSTM,2302,2.2124468084920084,0.02693580765857817,729,False
24M,730,GLS,Majority Direction,2302,0.29423385444085765,0.7685792128936415,729,False
24M,730,GLS,OLS,2302,0.6591912203598504,0.5097729840582383,729,False
24M,730,GLS,Persistence Direction,2302,-3.412151164709958,0.0006445236078274075,729,False
24M,730,GLS,Random Walk with Drift,2302,0.42651820813896785,0.6697302831007903,729,False
24M,730,GLS,VS-LSTM,2302,1.4821180493114767,0.13830888699656763,729,False
24M,730,GLS,Zero Return,2302,0.8407884465344649,0.4004664607132633,729,False
24M,730,GLS-LSTM,Historical Mean,2302,0.7944469579942653,0.4269352763000098,729,False
24M,730,GLS-LSTM,Historical Median,2302,1.0880909395454634,0.276554963167293,729,False
24M,730,GLS-LSTM,LSTM,2302,3.135186575417722,0.0017174484291488934,729,False
24M,730,GLS-LSTM,Majority Direction,2302,0.6485818098103582,0.516608716126842,729,False
24M,730,GLS-LSTM,OLS,2302,1.0732255852914743,0.2831699138357817,729,False
24M,730,GLS-LSTM,Persistence Direction,2302,-3.821292237267971,0.00013275422686631622,729,False
24M,730,GLS-LSTM,Random Walk with Drift,2302,0.7944469579942653,0.4269352763000098,729,False
24M,730,GLS-LSTM,VS-LSTM,2302,2.4774625410276263,0.013232029761041542,729,False
24M,730,GLS-LSTM,Zero Return,2302,2.1963008651257243,0.028070415858958198,729,False
24M,730,Historical Mean,Historical Median,2302,1.9552254757353003,0.05055646289916904,729,False
24M,730,Historical Mean,LSTM,2302,0.49705194316937146,0.6191524222833489,729,False
24M,730,Historical Mean,Majority Direction,2302,-3.7436045641771227,0.00018139906164060804,729,False
