date,active_addresses,transactions,difficulty,hashrate,block_size,transaction_value,avg_transaction_value,price,return_log_pct,return_simple_pct,lag1_price,lag1_return,rolling_vol_7d,rolling_vol_30d,day_of_week,month,year,target_price_t1,target_return_t1
2015-07-23,236628.0,109480.0,51076366303.0,3.829064244868897e+17,401285.0,2873.0,105.1,277.064,0.18713540260046102,0.18731061016974415,276.546,-0.7223994074615265,0.9376397658474747,1.954958900536516,3,7,2015,282.729,2.0240315249491396
2015-07-24,236628.0,109749.0,51076366303.0,3.932194407619008e+17,376211.0,3143.0,100.234,282.729,2.0240315249491396,2.044653942771335,277.064,0.18713540260046102,0.9998705090015665,1.9640883162827485,4,7,2015,288.564,2.0428056753327763
2015-07-25,236628.0,100390.0,51607092413.0,4.1339634731668896e+17,354624.0,2185.0,63.596,288.564,2.0428056753327763,2.063813758051003,282.729,2.0240315249491396,1.1920059691714686,1.9777975969271164,5,7,2015,290.788,0.7677580899034332
2015-07-26,236628.0,92632.0,52278304846.0,3.776311636388882e+17,433689.0,1860.0,76.529,290.788,0.7677580899034332,0.7707129094412402,288.564,2.0428056753327763,0.9878392073248031,1.9758886126883377,6,7,2015,291.318,0.18209746900200324
2015-07-27,236628.0,115077.0,52278304846.0,3.913856715796776e+17,532022.0,2534.0,99.471,291.318,0.18209746900200324,0.1822633671265672,290.788,0.7677580899034332,1.0096850672576396,1.969948828456513,0,7,2015,294.087,0.9460187907435871
2015-07-28,258879.0,118214.0,52278304846.0,3.848400953398785e+17,574385.0,2974.0,99.073,294.087,0.9460187907435871,0.950507692624547,291.318,0.18209746900200324,1.0112725628792676,1.9657145010081507,1,7,2015,290.804,-1.1226141207876936
2015-07-29,270476.0,143048.0,52278304846.0,3.652356334552841e+17,840141.0,2287.0,110.169,290.804,-1.1226141207876936,-1.116336322244782,294.087,0.9460187907435871,1.1159574160048593,1.9838922420704082,2,7,2015,287.751,-1.0553977888071262
2015-07-30,246547.0,122807.0,52278304846.0,3.719811221144839e+17,777019.0,2402.0,108.501,287.751,-1.0553977888071262,-1.0498480075927463,290.804,-1.1226141207876936,1.2984073806298555,1.9000588370310973,3,7,2015,284.668,-1.0771933884635578
2015-07-31,271001.0,147352.0,52278304846.0,3.642299931214549e+17,756014.0,1961.0,95.867,284.668,-1.0771933884635578,-1.0714124364467836,287.751,-1.0553977888071262,1.2354727265250147,1.9021754795297878,4,7,2015,280.98,-1.304009652673506
2015-08-01,267062.0,147326.0,52278304846.0,4.1820650280182246e+17,729761.0,1502.0,53.549,280.98,-1.304009652673506,-1.295544283164951,284.668,-1.0771933884635578,0.9780198363224045,1.911045830012684,5,8,2015,280.317,-0.23623867875407667
2015-08-02,260292.0,103449.0,52278304846.0,4.074268156261444e+17,428099.0,1827.0,48.114,280.317,-0.23623867875407667,-0.23595985479394344,280.98,-1.304009652673506,0.8463151358495484,1.9068087242473792,6,8,2015,282.591,0.8079516973573678
2015-08-03,247772.0,119687.0,52278304846.0,3.798668144748684e+17,454890.0,2436.0,72.779,282.591,0.8079516973573678,0.8112244351930142,280.317,-0.23623867875407667,0.9589006585984494,1.9080940044334604,0,8,2015,283.586,0.35148055266833916
